DTPinMap,version=2.1:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1	Pin Map
					
	Group Name	Pin Name	Type	Comment
		TDEV1_DC30_DT	Analog	
		TDEV1_UVI80_0	Analog	
		TDEV1_UVI80_0_DM	Analog	
		TDEV1_UVI80_0_DT	Analog	
		TDEV2	I/O	
		TDEV3	I/O	
		TDEV4	I/O	
		TDEV5	I/O	
		UVI80_DGS_1_DM	Analog	
		UVI80_DGS_2_DM	Analog	
		UVI80_DGS_3_DM	Analog	
		UVI80_DGS_4_DM	Analog	
		UVI80_DGS_5_DM	Analog	
		UVI80_DGS_6_DM	Analog	
		UVI80_DGS_7_DM	Analog	
		UVI80_DGS_8_DM	Analog	
		UVWARN_L	I/O	
		VBAT_UVI80	Analog	
		VBAT_UVI80_DM	Analog	
		VBAT_UVI80_DT	Analog	
		VCP_UVI80	power	
		VCP_UVI80_DM	Analog	
		VCP_UVI80_DT	Analog	
		VDD_ANA_UVI80	power	
		VDD_ANA_UVI80_DM	Analog	
		VDD_ANA_UVI80_DT	Analog	
		VDD_B12_LDO_UVI80	power	
		VDD_B12_LDO_UVI80_DM	Analog	
		VDD_B12_LDO_UVI80_DT	Analog	
		VDD_B4_S_UVI80	power	
		VDD_B4_S_UVI80_DM	Analog	
		VDD_B4_S_UVI80_DT	Analog	
		VDD_B4_UVI80	power	
		VDD_B4_UVI80_DM	Analog	
		VDD_B4_UVI80_DT	Analog	
		VDD_B6_LDO_UVI80	power	
		VDD_B6_LDO_UVI80_DM	Analog	
		VDD_B6_LDO_UVI80_DT	Analog	
		VDD_BOOST_LDO_UVI80	power	
		VDD_BOOST_LDO_UVI80_DM	Analog	
		VDD_BOOST_LDO_UVI80_DT	Analog	
		VDD_BOOST_LNV_UVI80	power	
		VDD_BOOST_LNV_UVI80_DM	Analog	
		VDD_BOOST_LNV_UVI80_DT	Analog	
		VDD_BOOST_UVI80	power	
		VDD_BOOST_UVI80_DM	Analog	
		VDD_BOOST_UVI80_DT	Analog	
		VDD_BOOST_UVLO_L	I/O	
		VDD_BOOST1_UVI80	power	
		VDD_BOOST1_UVI80_DM	Analog	
		VDD_BOOST1_UVI80_DT	Analog	
		VDD_BSTLQ_IN_UVI80	power	
		VDD_BSTLQ_IN_UVI80_DM	Analog	
		VDD_BSTLQ_IN_UVI80_DT	Analog	
		VDD_BUCK2_UVI80	power	
		VDD_BUCK2_UVI80_DM	Analog	
		VDD_BUCK2_UVI80_DT	Analog	
		VDD_BUCK6_UVI80	power	
		VDD_BUCK6_UVI80_DM	Analog	
		VDD_BUCK6_UVI80_DT	Analog	
		VDD_DIG_UVI80	power	
		VDD_DIG_UVI80_DM	Analog	
		VDD_DIG_UVI80_DT	Analog	
		VDD_LDO14_UVI80	power	
		VDD_LDO14_UVI80_DM	Analog	
		VDD_LDO14_UVI80_DT	Analog	
		VDD_LDO6_UVI80	power	
		VDD_LDO6_UVI80_DM	Analog	
		VDD_LDO6_UVI80_DT	Analog	
		VDD_LDO7_UVI80	power	
		VDD_LDO7_UVI80_DM	Analog	
		VDD_LDO7_UVI80_DT	Analog	
		VDD_MAIN_BSTLQ_UVI80	power	
		VDD_MAIN_BSTLQ_UVI80_DM	Analog	
		VDD_MAIN_BSTLQ_UVI80_DT	Analog	
		VDD_MAIN_DRV_UVI80	power	
		VDD_MAIN_DRV_UVI80_DM	Analog	
		VDD_MAIN_DRV_UVI80_DT	Analog	
		VDD_MAIN_LDO_UVI80	power	
		VDD_MAIN_LDO_UVI80_DM	Analog	
		VDD_MAIN_LDO_UVI80_DT	Analog	
		VDD_MAIN_SNS_UVI80	power	
		VDD_MAIN_SNS_UVI80_DM	Analog	
		VDD_MAIN_SNS_UVI80_DT	Analog	
		VDD_MAIN_SNS_WLED_UVI80	power	
		VDD_MAIN_SNS_WLED_UVI80_DM	Analog	
		VDD_MAIN_SNS_WLED_UVI80_DT	Analog	
		VDD_MAIN_UVI80	power	
		VDD_MAIN_UVI80_DM	Analog	
		VDD_MAIN_UVI80_DT	Analog	
		VDD_MAIN_WLED_UVI80	power	
		VDD_MAIN_WLED_UVI80_DM	Analog	
		VDD_MAIN_WLED_UVI80_DT	Analog	
		VDDIO1V2_UVI80	power	
		VDDIO1V2_UVI80_DM	Analog	
		VDDIO1V2_UVI80_DT	Analog	
		VLDO1_UVI80	Analog	
		VLDO1_UVI80_DM	Analog	
		VLDO1_UVI80_DT	Analog	
		VLDO10_UVI80	Analog	
		VLDO10_UVI80_DM	Analog	
		VLDO10_UVI80_DT	Analog	
		VLDO11_UVI80	Analog	
		VLDO11_UVI80_DM	Analog	
		VLDO11_UVI80_DT	Analog	
		VLDO12_UVI80	Analog	
		VLDO12_UVI80_DM	Analog	
		VLDO12_UVI80_DT	Analog	
		VLDO13_UVI80	Analog	
		VLDO13_UVI80_DM	Analog	
		VLDO13_UVI80_DT	Analog	
		VLDO14_UVI80	Analog	
		VLDO14_UVI80_DM	Analog	
		VLDO14_UVI80_DT	Analog	
		VLDO2_UVI80	Analog	
		VLDO2_UVI80_DM	Analog	
		VLDO2_UVI80_DT	Analog	
		VLDO3_UVI80	Analog	
		VLDO3_UVI80_DM	Analog	
		VLDO3_UVI80_DT	Analog	
		VLDO4_UVI80	Analog	
		VLDO4_UVI80_DM	Analog	
		VLDO4_UVI80_DT	Analog	
		VLDO5_UVI80	Analog	
		VLDO5_UVI80_DM	Analog	
		VLDO5_UVI80_DT	Analog	
		VLDO6_UVI80	Analog	
		VLDO6_UVI80_DM	Analog	
		VLDO6_UVI80_DT	Analog	
		VLDO7_UVI80	Analog	
		VLDO7_UVI80_DM	Analog	
		VLDO7_UVI80_DT	Analog	
		VLDO8_UVI80	Analog	
		VLDO8_UVI80_DM	Analog	
		VLDO8_UVI80_DT	Analog	
		VLDO9_UVI80	Analog	
		VLDO9_UVI80_DM	Analog	
		VLDO9_UVI80_DT	Analog	
		VLDOINT_UVI80	Analog	
		VLDOINT_UVI80_DM	Analog	
		VLDOINT_UVI80_DT	Analog	
		VMBX_UVI80	Analog	
		VMBX_UVI80_DM	Analog	
		VMBX_UVI80_DT	Analog	
		VPP	I/O	
		VPP_DC30	power	
		VPP_DC30_DM	Analog	
		VPP_DC30_DT	Analog	
		VREF_ADC_DC30	Analog	
		VREF_ADC_DC30_DM	Analog	
		VREF_ADC_DC30_DT	Analog	
		VREF_DC30	Analog	
		VREF_DC30_DM	Analog	
		VREF_DC30_DT	Analog	
		VREF_UVI80	Analog	
		VREF_UVI80_DM	Analog	
		VREF_UVI80_DT	Analog	
		VSS_DFT_2	I/O	
		VSS_REF	I/O	
		VSS_S_UVI80	Analog	
		VSS_S_UVI80_DM	Analog	
		VSS_S_UVI80_DT	Analog	
		WLED_HP_LX_UVI80	Analog	
		WLED_HP_LX_UVI80_DM	Analog	
		WLED_HP_LX_UVI80_DT	Analog	
		WLED_HP1_LX_DC30_0	Analog	
		WLED_HP1_LX_DC30_0_DM	Analog	
		WLED_HP1_LX_DC30_0_DT	Analog	
		WLED_HP1_LX_DC30_1	Analog	
		WLED_HP1_LX_DC30_1_DM	Analog	
		WLED_HP1_LX_DC30_1_DT	Analog	
		WLED_HP2_LX_DC30_0	Analog	
		WLED_HP2_LX_DC30_0_DM	Analog	
		WLED_HP2_LX_DC30_0_DT	Analog	
		WLED_HP2_LX_DC30_1	Analog	
		WLED_HP2_LX_DC30_1_DM	Analog	
		WLED_HP2_LX_DC30_1_DT	Analog	
		WLED_LP_LX_DC30_0	Analog	
		WLED_LP_LX_DC30_0_DM	Analog	
