																				OTP_AVC_V001	

OTP_REGISTER_NAME	name	inst_name	inst_base	reg_name	reg_ofs	otp_owner	DEFAULT VALUE	bw	idx	offset	otp_b0	otp_a0	otpreg_add	otpreg_ofs	Default or Real	REAL VALUE	Comment	Different	OTP_ECID_ONLY	OTP_AVC_V001	END	
OTP_BUCB_PH2_CM_CALI_N_63	CM_CALI_N	BUCB_PH2	21248	BUCB_PH2_CONFIG_PHASE_GEN2_CM_CALI_N_REG	3	system	0	6	87	5	0	13	63	0	Default				0	0	
OTP_BUCB_PH2_CM_GAIN_CALI_P_64	CM_GAIN_CALI_P	BUCB_PH2	21248	BUCB_PH2_CONFIG_PHASE_GEN2_CM_GAIN_CALI_P_REG	4	system	93	8	88	11	0	13	64	0	Default				0	99	
OTP_BUCB_PH2_CM_GAIN_CALI_N_65	CM_GAIN_CALI_N	BUCB_PH2	21248	BUCB_PH2_CONFIG_PHASE_GEN2_CM_GAIN_CALI_N_REG	5	system	93	8	89	19	0	13	65	0	Default				0	67	
OTP_BUCB_PH2_OSC_TRIM_H_66	OSC_TRIM_H	BUCB_PH2	21248	BUCB_PH2_CONFIG_PHASE_GEN2_OSC_CALI_0_REG	27	-	1	1	90	27	0	13	66	0	Default				0	0	
OTP_BUCB_PH2_OSC_TRIM_L_67	OSC_TRIM_L	BUCB_PH2	21248	BUCB_PH2_CONFIG_PHASE_GEN2_OSC_CALI_1_REG	28	system	44	8	91	28	0	13	67	0	Default				0	189	
OTP_BUCB_PH3_CM_CALI_P_68	CM_CALI_P	BUCB_PH3	21504	BUCB_PH3_CONFIG_PHASE_GEN2_CM_CALI_P_REG	2	system	0	6	92	4	0	14	68	0	Default				0	0	
OTP_BUCB_PH3_CM_CALI_N_69	CM_CALI_N	BUCB_PH3	21504	BUCB_PH3_CONFIG_PHASE_GEN2_CM_CALI_N_REG	3	system	0	6	93	10	0	14	69	0	Default				0	0	
OTP_BUCB_PH3_CM_GAIN_CALI_P_70	CM_GAIN_CALI_P	BUCB_PH3	21504	BUCB_PH3_CONFIG_PHASE_GEN2_CM_GAIN_CALI_P_REG	4	system	93	8	94	16	0	14	70	0	Default				0	99	
OTP_BUCB_PH3_CM_GAIN_CALI_N_71	CM_GAIN_CALI_N	BUCB_PH3	21504	BUCB_PH3_CONFIG_PHASE_GEN2_CM_GAIN_CALI_N_REG	5	system	93	8	95	24	0	14	71	0	Default				0	67	
OTP_BUCB_PH3_OSC_TRIM_H_72	OSC_TRIM_H	BUCB_PH3	21504	BUCB_PH3_CONFIG_PHASE_GEN2_OSC_CALI_0_REG	27	-	1	1	96	0	0	15	72	0	Default				0	0	
OTP_BUCB_PH3_OSC_TRIM_L_73	OSC_TRIM_L	BUCB_PH3	21504	BUCB_PH3_CONFIG_PHASE_GEN2_OSC_CALI_1_REG	28	system	44	8	97	1	0	15	73	0	Default				0	189	
OTP_BUCB_VR2_DP_P_SIGNIF_74	DP_P_SIGNIF	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_DP_P_REG	0	system	66	8	98	9	0	15	74	0	Default				0	66	
OTP_BUCB_VR2_DP_I_SIGNIF_75	DP_I_SIGNIF	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_DP_I_REG	1	system	49	8	99	17	0	15	75	0	Default				0	49	
OTP_BUCB_VR2_DP_D_SIGNIF_76	DP_D_SIGNIF	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_DP_D_REG	2	system	192	8	100	25	0	15	76	0	Default				0	192	
OTP_BUCB_VR2_DP_D_EXP_77	DP_D_EXP	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_DP_EXP_REG	3	system	0	2	101	1	0	16	77	0	Default				0	0	
OTP_BUCB_VR2_DP_I_EXP_77	DP_I_EXP	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_DP_EXP_REG	3	-	0	2	102	3	0	16	77	2	Default				0	0	
OTP_BUCB_VR2_DP_P_EXP_77	DP_P_EXP	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_DP_EXP_REG	3	-	0	2	103	5	0	16	77	4	Default				0	0	
OTP_BUCB_VR2_SP_P_SIGNIF_78	SP_P_SIGNIF	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_SP_P_REG	4	system	82	8	104	7	0	16	78	0	Default				0	82	
OTP_BUCB_VR2_SP_I_SIGNIF_79	SP_I_SIGNIF	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_SP_I_REG	5	system	74	8	105	15	0	16	79	0	Default				0	74	
OTP_BUCB_VR2_SP_D_SIGNIF_80	SP_D_SIGNIF	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_SP_D_REG	6	system	176	8	106	23	0	16	80	0	Default				0	176	
OTP_BUCB_VR2_SP_D_EXP_81	SP_D_EXP	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_SP_EXP_REG	7	system	0	2	107	31	0	16	81	0	Default				0	0	
OTP_BUCB_VR2_SP_I_EXP_81	SP_I_EXP	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_SP_EXP_REG	7	-	0	2	108	1	0	17	81	2	Default				0	0	
OTP_BUCB_VR2_SP_P_EXP_81	SP_P_EXP	BUCB_VR2	22016	BUCB_VR2_CONFIG_PID_SP_EXP_REG	7	-	0	2	109	3	0	17	81	4	Default				0	0	
OTP_BUCB_VR2_VPFM_AMPL_82	VPFM_AMPL	BUCB_VR2	22016	BUCB_VR2_CONFIG_CTRL_1_CONFIG_VSENSE_D_REG	10	system	7	5	110	5	0	17	82	0	Default				0	7	
OTP_BUCB_VR2_VPFM_CLP_82	VPFM_CLP	BUCB_VR2	22016	BUCB_VR2_CONFIG_CTRL_1_CONFIG_VSENSE_D_REG	10	-	2	3	111	10	0	17	82	5	Default				0	2	
OTP_BUCB_VR2_VSENSE_DAC_BIAS_PWM_83	VSENSE_DAC_BIAS_PWM	BUCB_VR2	22016	BUCB_VR2_CONFIG_CTRL_1_CONFIG_VSENSE_E_REG	11	system	0	4	112	13	0	17	83	0	Default				0	0	
OTP_BUCB_VR2_VSENSE_DAC_BIAS_SPFM_83	VSENSE_DAC_BIAS_SPFM	BUCB_VR2	22016	BUCB_VR2_CONFIG_CTRL_1_CONFIG_VSENSE_E_REG	11	system	0	4	113	17	0	17	83	4	Default				0	0	
OTP_BUCB_VR2_VSENSE_DAC_BIAS_IPFM_84	VSENSE_DAC_BIAS_IPFM	BUCB_VR2	22016	BUCB_VR2_CONFIG_CTRL_1_CONFIG_VSENSE_F_REG	12	system	0	4	114	21	0	17	84	0	Default				0	0	
OTP_BUCB_VR2_OFFSET_CORR_85	OFFSET_CORR	BUCB_VR2	22016	BUCB_VR2_VOUT_TRIM_SETPOINT_OFFSET_CAL_REG	0	system	0	8	115	25	0	17	85	0	Default				0	0	
OTP_BUCB_VR2_GAIN_CORR_86	GAIN_CORR	BUCB_VR2	22016	BUCB_VR2_VOUT_TRIM_SETPOINT_GAIN_CAL_REG	1	system	128	8	116	1	0	18	86	0	Default				0	128	
OTP_BUCB_VR2_OFFSET_CORR_DELTA_PFM_87	OFFSET_CORR_DELTA_PFM	BUCB_VR2	22016	BUCB_VR2_VOUT_TRIM_SETPOINT_OFFSET_CAL_2_REG	2	system	0	6	117	9	0	18	87	0	Default				0	0	
OTP_BUCB_VR2_VSENSE_IDAC_TRIM_HP_88	VSENSE_IDAC_TRIM_HP	BUCB_VR2	22016	BUCB_VR2_VOUT_TRIM_SETPOINT_OFFSET_CAL_3_REG	3	system	8	4	118	15	0	18	88	0	Default				0	8	
OTP_BUCB_VR2_VSENSE_IDAC_TRIM_LP_88	VSENSE_IDAC_TRIM_LP	BUCB_VR2	22016	BUCB_VR2_VOUT_TRIM_SETPOINT_OFFSET_CAL_3_REG	3	-	8	4	119	19	0	18	88	4	Default				0	8	
