
								CP1	CP1	CP1	QA_C	QA_C	QA_S	QA_S	CHAR_N25C	CHAR_N25C	CHAR_0C	CHAR_0C	CHAR_25C	CHAR_25C	CHAR_85C	CHAR_85C	CHAR_125C	CHAR_125C	FT1	FT1	TBD2	TBD2	
		flowtable	instance	testname	PETname	testnumber	scale	units	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	comment	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck10_LP_LS_CSA_X_X_FinalTrim_T_VDD3.80V_MeasG_X_X_X_X	Buck10_LP_LS_CSA_X_X_FinalTrim_T_VDD3.80V_MeasG_X_X_BUCK.10.T0063_X	95248			24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck11_LP_LS_CSA_X_X_TrimTarget_T_VDD3.80V_MeasG_X_X_X_X		95249			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck11_LP_LS_CSA_X_X_PreTrimCode_C_VDD3.80V_MeasG_X_X_X_X	Buck11_LP_LS_CSA_X_X_PreTrimCode_C_VDD3.80V_MeasG_X_X_BUCK.11.C0078_X	95250			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck11_LP_LS_CSA_X_X_PreTrim_T_VDD3.80V_MeasG_X_X_X_X		95251			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck11_LP_LS_CSA_X_X_FirstTrimCode_X_VDD3.80V_MeasG_X_X_X_X		95252			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck11_LP_LS_CSA_X_X_FirstTrim_X_VDD3.80V_MeasG_X_X_X_X		95253			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck11_LP_LS_CSA_X_X_FinalTrimCode_C_VDD3.80V_MeasG_X_X_X_X	Buck11_LP_LS_CSA_X_X_FinalTrimCode_C_VDD3.80V_MeasG_X_X_BUCK.11.C0079_X	95254			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck11_LP_LS_CSA_X_X_FinalTrim_T_VDD3.80V_MeasG_X_X_X_X	Buck11_LP_LS_CSA_X_X_FinalTrim_T_VDD3.80V_MeasG_X_X_BUCK.11.T0063_X	95255			24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck0_LP_LS_CSAOS_X_X_TrimTarget_T_VDD3.80V_MeasI_X_X_X_X		95256		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck0_LP_LS_CSAOS_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_X_X	Buck0_LP_LS_CSAOS_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_BUCK.00.C0130_X	95257			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck0_LP_LS_CSAOS_X_X_PreTrim_T_VDD3.80V_MeasI_X_X_X_X		95258		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck0_LP_LS_CSAOS_X_X_FirstTrimCode_X_VDD3.80V_MeasI_X_X_X_X		95259			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck0_LP_LS_CSAOS_X_X_FirstTrim_X_VDD3.80V_MeasI_X_X_X_X		95260		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck0_LP_LS_CSAOS_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_X_X	Buck0_LP_LS_CSAOS_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_BUCK.00.C0131_X	95261			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck0_LP_LS_CSAOS_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_X_X	Buck0_LP_LS_CSAOS_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_BUCK.00.T0108_X	95262		A	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck2_LP_LS_CSAOS_X_X_TrimTarget_T_VDD3.80V_MeasI_X_X_X_X		95263		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck2_LP_LS_CSAOS_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_X_X	Buck2_LP_LS_CSAOS_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_BUCK.02.C0092_X	95264			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck2_LP_LS_CSAOS_X_X_PreTrim_T_VDD3.80V_MeasI_X_X_X_X		95265		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck2_LP_LS_CSAOS_X_X_FirstTrimCode_X_VDD3.80V_MeasI_X_X_X_X		95266			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck2_LP_LS_CSAOS_X_X_FirstTrim_X_VDD3.80V_MeasI_X_X_X_X		95267		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck2_LP_LS_CSAOS_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_X_X	Buck2_LP_LS_CSAOS_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_BUCK.02.C0093_X	95268			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSAOS_PAR_Trim_GenTool	Buck2_LP_LS_CSAOS_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_X_X	Buck2_LP_LS_CSAOS_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_BUCK.02.T0074_X	95269		A	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	0.000018	0.000022	
